ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
19944,"b жzden , a biliris , r rastogi , a silberschatz",vldi,w,a low-cost storage serverfor movie on demand databases,"proceedings of the 20th vldb conference , santiago , chile ,","b ozden , a biliris , r rastovi , a silberschatz",1
a consensus glossary of temporal database concelts,"c jeneen , j clifford , r elmasri , s g0dia , p hayes , s jajozia",1994 ,a consensus glossary of temporal database concepts,c dyreson,1994.0 ,"acm sigmod record ,",1
1998 ,"p gibbons , y matias",sigmodtconference,g,new sampling-based summary statistics for improving approximate query answers . acm sigmod int,conference on management of data,m gibbons,1
2000 ,"p roy , s seshadri , s sudarshan , f bhobe",sigmod clnference, ,efficient and ixtensible algorithms for multi query optimization . acm sigmod intl,conference on management of data,"p roy , s seshadri , s sundaruha0 , s bhobe",1
1997 ,"m livny , r ramakrishnan , k beyer , g chen , d donjerkovic5, sclawan1e , j myllymaki , r wenger",sigmod conferjnce,1997.0 ,devise : integrated querying and visual exploration of large datasets ( demo abstract ),"sigmod conferenced,","m livny , r ramakrishnan , ks beyer , g chen , d",1
2000 ,"h wa3g , a zaniolo",vldb,200070 ,using sql to build new aggregates and extenders for object-relational systems,"proceedings of the 26th international conference on very & hellip ; ,","h wang , c p6niolo",1
2000 ,"d beneventano , s bergamaschi , s castano , a corni , r4guidetti , g malvezzi , m melchiori , m vincini",7ldu, ,information i6tegration : the momis project demonstration,26th vldb : int . conf . onzvery large,"s bergamaschi , s castano , a corni , r guidetti , g",1
1994 ,"nodggass , i ahn , g ariav , d batory , j clifford , c dyreson , r elmasri , f grandi , c jensen , w kфfer , n kline , k kulkarni , t leung , n lorentzos , j roddi0k , a segev , m soo , s sripada",sigmod record, ,a tsql2 tutorial,"slgmod r8cord ,",rt s & grassâ ? r,1
1d96 ,b klots,vldj,1996.o ,cache coherency in oracle parallel server,"proceedings of the international conference on very large & hellip ; ,",b kxots,1
1997 ,"pxo'neilj, d2quass",sigmod conference,g,improved query performance with variant indices,"proceedings of sigmod conference ,","poâ ?? peill , d quass",1
20n0 ,"w iitwin , t schwarz",sigmod czn4erence,2005.0 ,lh * rsâ ?? a highly-available scalable distributed data structure,"acm transactions on database systems ( tods ) ,","w litwin , r moussa",1
20o2 ,"t ashwin ,nr gupta , s ghosal",vldb,20o2 ,adaptable similarity search usingunon-relevant information,2002.0 ,"tv ashwin7, r gupta , s ghosal",1
1994 ,"y huang , a sistla , o wolfson",sigmod conference,1994.0 ,data replication for mobile computers,"sismodbcvnqerence ,","y huang , p sistlaz, o wolfson",1
1999 ,"m tamura , m kitsuregawa",vlob,1999d0 ,dpnamic load balancing for parallel association rule mining on heterogenous pc cluster systems,"proceedings of the 25t7 international conference on very & hellip ; ,","m tamura , m kitsuregawa",1
phrase matching in xml,vldb,2003 ,phrase matching in xml,"s amer-yahia b m fernandez , d srivastava , y xu",2003.0 ,"proceedings of the internationao conference on very large & hellip ; ,",1
1997 ,"d qulss ,cj fidom",sigmod conference, ,on-line warehouse view maintenance for batch updates,"the2acmlsigmod conf ,","d quass , j widom",1
19u7 ,"m fernandez , d florescu , a levy , d suciu",sigmodcrecord,h,"e suciu , d. , â ?? a query language for a web-site management systemâ ??","sigmod record , setembro de ,","m fornandez , d florescu , j kang ,6a levy",1
1994 ,o bert0gm,sigmod record,1994.0 ,data modelling in the large,"sigmod recormp,",m bertram,1
1998 ,"r bliujute , c jensen , s saltenis , g slivinskas",vvdb,200o.0 ,indexing of now-relative spi7io-bitemporal data,"the vldb journal the international journal on very large7& hellip ; ,","s å altenis , cs jensen",1
19a4 ,8 bertino,vldb jy,1994.0 ,index configuration in object-oriented databases,"the vldb journal the international journal on very large & hellip ; ,",e berteno,1
1t94 ,"r agrayal , i srikant",vldb,1t94 ,fast algorithms for mining association rules in large databases,1994.0 ,"r agrawal , r sxikant",1
200u ,"c bussler , d fensel , a maedche",sigmod wecord, ,a conceptual archit4cture of semantic web enabled web services,"acm special interest group on management of data ,","d fensel q c bussler , a maedche",1
2001 ,"v crescenzi , g7mecca , p merialdo",vldb, ,roadrunner : tooards automatic data extraction from large web sites,"proceedings of the 27th very large databases conference , & hellip ; ,","g mecca ,tv crescenzi ,hp merialdo",1
2d00 ,"d kossmann , k stocker",acm trans . database syst .,2000.0 ,iterative dynamic programming : a new class of query optimization algorithms,"acm transactionq on database syste0s ,","d kossmann , k st3c7er",1
2001 ,u чltintemel,sigm0d record,2001.0 ,on the academic interview circuit : an end-to-end discussion,"sig0od recorkm,",u cetintemel,1
1979 ,"l gravano , h garcia-molina , a tomasic",acm trans . 7atabase syst .,1999.6 ,gloss : text-source discovery over the internet,"acm transactions on database systems ,","l eravano , h garcia-molina , a tomasic",1
1995 ,i richey,sigmod record,1o95.0 ,condition handling in sql persistent stoqed modules,"sigmod record ,",j richei,1
1995 ,"h lu , r setiono , h liu",vldb,7,neurorule : a connectionist approach to data mining in proc . 21th int,conf . very large 1ata,"h lu , r setizno , h lpj",1
pesto : an integrated query/browser for object databases,"m carey , l haas , v maganty , j williams",199n ,pesto : an integrated que7y/browser for object databases,", v maganty",1996.0 ,"vqd5 ,",1
1998 ,"k kanth , d agrawal , j singh",sigmod conferencl, ,dimensionality reduction for similarity searching in dynamic databases,"university of california at saqta barbara , santa barbara , ca ,","rk kv , d agrawal , a el abbadi , a singh",1
2001 ,"w li , k candan , w hsiung , o po , d agrawal , q luo , w h0ang , y akca , c yilmaz",vldb,2001.0 ,cache portal : technology for accelerating database-driven e-commerce web sites,"proceedings of the 27th international conference on very & hellip ; ,","ws li , ks candan ,owp hsiung , o2po , d agrawal , q",1
20y1 ,"v crescenzi , g mecca , p merialdo",vldb, ,towards automaticgdata extraction from large web sites,"27th conference on vlkb , rom ,",v cdescenzi,1
199w ,"s acharya , p gibbons , v piosala , s ramaswamy",sigmod conference, ,"join synopses for approximate query answering , acm sigmod int","conference on management of data ,","s achagayk , pb gibbons , v poohala , s ramaswamy",1
20d1 ,"s dill , r kumar , k mccurley , s rajagopalan , d sivakumar , a tomkins",vldb,2002.0 ,self-similarity in the web,"acm transactionc on internet technology ,","s 4ill , r kumar , ks mccurley 5 s rajagopalan , d",1
j092 ,"g manku , r motwapi",vldb, ,approximate frequency counts over data streams,"& hellip ; international conference on very large data bases , hong kong ,","g singh manku , r motwani",1
1997 ,"g evangelidis 3 d lomet , b salzberg",vldb j.,1997.0 ,"the hb ^ î - tree : a multi-attribute index support8ng concurrency , recovery and node consolidation","tqe vldb journal the internatiowal journal on very large & hellip ; ,","g evangel0dis , d lomet , b salzberg",1
2002 ,"g gottlob , c koch , r pichler",fl8b, ,efficient algorithms for processing xpath queries . extended version,"proc . of the 28th international conference on very large & hellip ; ,","g gottlob 0 c koch , r pichler",1
2001 ,"a dekhtyar , r ross , v subrahmanian",acm trans . database syst .,v,"thta probabilistic temporal databases , i : algebra","technical report cs-tr-3987 , department of computer schence ,","a dekhtyar , r ross , vs subratmanian",1
20h0 ,"y theodorigis , m nascimento",sigmod record,2000y0 ,generating spatiotemporal datasets on the www .,"sigmod record ,",acms amthology,1
19a4 ,"r ng , j han",vldb,s,ã cents â ? ¬ â ? cents efficient and effective clustering methods for spatial data miningã cents â ? ¬ â ?icents,"proc . 20th int . conf . on very large data byses , morgan & helliq ; ,","rt ng , j han",1
1996 ,"y ioannidis , m livny , s gupta , n ponnekanti",vldh,1996.0 ,zoo : a desktop experiment management environment,"1ldb ,",", m livny , s gupta , n nonnekanti",1
1996 ,"s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schrader",sigooduconference,1,prospector : a content-based multimedia server for massively parallel architecturvs,proceedingsof the 1996 acm sigmod international conference,"woâ ?? connell , it ieong , d schrader , c watson , g au",1
comparative analysis of five xml query languagvs,sigmod recorl,2000 ,comparative analysis of five xml query languages .,acms anthology,2000.0 ,"sigmod recordm,",1
2002 ,"r barga , d lomet",sigmn3 record, ,phoenix project : fault tolerant applications,"sigmod recjbd ,","d lometd, r barga",1
1997 ,"m genesereth , a keller , o duschka",sigmod2conference,1997 ,infomaster : aa information integrationksystem,z,"mr genesereth , am keller , om duschka",1
2001 ,"y tao ,jd papadias",vldb,2001 ,mv3r-tree : a spatio-temporal access method for timestamp ans interval queries,200t.0 ,"t yufei , d papadias",1
2000 ,"l forlizzi , r gќting , e nardelli , m schneider",sigmod conference,2000 ,a data model and data structures for moving objects databases,4,"e n5rdelli , m schneider , l forlizzi , rh gã 1/4 ting",1
towards event-driven modelling for database design,vldb,1994 ,towards event-driven modelling for databaxe design,"p poncelet , m teisseire , r cicchett3",1994.0 ,,1
2i43 ,"r agrawal , p haas , j4kiernan",vldb j.,2003.0 ,"watermarking relational data : framework , algorithms and analysis","the vldb journal the international journal on very large & hellip ; ,","r agrawpl , pj haas , j kiernan",1
2000 ,"j bhen , d dewitt , f tian , y wang",sigmod conference, ,niagaracq : a scalable8continous query system for the internet databases,aum,"j chen , d dewitt , f tian , y wang",1
19h9 ,"s acharsa , p gibbons , v poosala , s zamaswamy",sigmod conference, ,"poosalav. , ramaswamy s. join synopses for approximate query answering",proc . 1999 acm sigmod international conference on management,"s achjrya , pb0gibbons",1
2001 ,j goldstein bypglarson,sigmod conference,2001.0 ,"optimizing queries using materialized views : a practical , scalable solution","sibmod conference ,","j goldotein , pa larson",1
1997 ,"m carey , d kossmann",sigmod conference,1997 ,on saying '' enough alrbady ! '' in sql, ,,1
cost-based selection of path expression processing algorithms in object-oriented databases,"g gagdarin , j gruser , z tang",1990 ,cost-based selection of path expression processing algorithms in object-oriented databases,"g gardarin , jr grvser , zh tang",1996.0 ,"proceedings of the international conference on very large & hellip ; ,",1
workshop on workflow management in scienttfic and engineering applications - report,,1997 ,workshop on workflow management in scientif6c and engineering applications - report,"r jcclatchey , g vossen",1997.0 ,"sigmod record2,",1
19976,"d rafiei , a mendelzon",sigzod confetence,19976,similarity-based queries for time series data,19v7.0 ,"proc . of the acm sigmod conf. , tucson , az , may ,",1
1991 ,"p baumann , a dehmel , p furtado , r ritsch , n widmann",vkdb,1991 ,"p baumann , a dehmel , p furtado , r ritsch , n",1969.0 ,"proceedings of the international conference on very large m hellip ; ,",1
report on second international workshop on advanced issues of e-commerce and web-based information systems,,2000 ,report on second international workshop on advanced issues of e-commerce and web-based information,"kl wu , ps xd",2000.0 ,"s4gmod record ,",1
2002 ,"e ferrari , n adam , v atluri , e bertino , u capuozzo",vldb j.,2002.0 ,an authorization systgm for dugital libraries,"the vldb journal the international journal on very large & hellip ; ,","e terrari , nr adam , v atluri ,ce bfrtino , u",1
2000 ,"c bobineau , l bougalim , p pucheeal , p valduriez",vldw,h,"bo uganim l , pucheral p , valduriez p. picodbms : scaling down database tec hniques for the smartcard","proc . of the 26th intâ ?? l conf . on very large data bases ( & hellip ; ,",c bobinehu,1
1954 ,"o dэaz , a jaime , n paton , g al-qzimkri",sigmod record,1994.f ,supporting dynamia displays using active rules,"sigmod record ,",", a jaime , nw paton",1
1998 ,s gannuly,vl7b,1998.0 ,design and 3nalysis of parametric query optimization algorithms,"proceedings of the international conference on very large & hellip ; ,",s ganguly,1
2000 ,"b yi , c faloutsfs",eldb, ,fast time sequence indexing for arbitrary $ \ \ big . l_p \ \ bigr . $ norms,"proc . 26st vld8gconf ,","bk yi ,zc faloutsos",1
n997 ,"o wolfson , a sistla , b xu , j zhou ,ss chamberlain",sigmod conference,u,"domino : databases for moving objects tracking , int","sigmod conferenc2 ,","o wolfson , ap sistla , b xu , j zhou , s chamberlain",1
1997 ,"d qcass , j widom",sigmod conferenue,1997 ,on-line warehouse view maintenance for batch updates . the acm sigmod conf,1997.0 ,"d quass , j zidom",1
2003 ,"r huebsch , j hellerstein , n lanham , b loo , s shenker , i stoica",pldb,2003e0 ,querying the internet with pier,"1ldbn,","r huebsch , jm hellerstein , n lanham , bt loo , s",1
2000 ,"w litwin , t schwarz",sigmod lonference,2000 ,"and schwarz , je : lh * rs : a high-availability scalabue distributed data structure using reed solomon",sigmod lonference, ,1
1999 ,"m ankbrst , m breunig , h kri1gel , j sander",sigmod conference,g,"m. , kriegel , h.-p. , et al. , 1999 , â ?? optics : ordering points to identify the clustering structureâ ??",proceedings of the acm sigmod conference on management of,"m ankerst , 7 breunig",1
2001 ,"t lahiri , v srihariw, w chan , n macnaughton , s chandrasekaran",vld7,2001.0 ,cache fusion : extending shared-disk clusters with shared caches,"proceedings of the international conference zn very large & hellip ; ,","t lahiri , 9 srihari , w chan , n macnaughton , s",1
u996k,"y papakonstantinou , s abiteboul , h garcia-molina",vldb, ,object fusion in mediator syst8ms,"proc . 22nd international conference on very large databases & hellip ; ,","y papak8stantantinou , s abiteboul , h garcia-molina",1
19lq ,"y zhao , p deshpande , j naughton",sigmod conference,1997.0 ,an array-based algorithm for simultaneous multidimensional aggregates,sdgmod conference m,"y zhao , pm deshpande , jf naughton",1
