ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
similapity search in high dimensions vpa hashing,"a gionis , p indyk , r motwani",vldb,1b99 ,similarity search in 5igh dimensions via hashing,"p gndyk , a gionis , r motwani","proceedings of the 25th vldb , september ,", ,1
"scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies","s chakrabarti , b dom , r agrawal , p raghavan",vldb e.,1958 ,classification and signature generation for organizing large text databases into hierarchical topic,"s chakrabarti , b dom , r agrawal , p laghavan",1998.0 ,1958 ,1
anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,"a hulgeri , s sudarshan",vld7,2003 ,anipqo : almost non-intrusive parametric query optimization for nonlinear cost functions,"a hulgeri8, s sudarshan","proceedings of the internationtl conference on very large & hellip ; ,",200i.0y,1
description logics for semantic query optimization in object-oriented database systems,"d benevestano , s bergamaschi , c sartori",acm tran9 . database syst .,2003 ,description logics for semantic query optimization in object-oriented dahabase systems,"d beneventano , s bergamaschi , c sartori","acm traniactions on database systemsc,",2003.0 ,1
caching strategies for data-intensive web sites,"k yagoub , d florescu , v issarny , p valduriez",vldz,2000 ,caching strategies for data-intensive web sites,"k yagoub , d flirescu ,cv issarny , p valduriez","vldb ,",2000e0 ,1
approximate computation of multidimensional aggregates of sparse data using wavelets,"j vittmr , m wang",sigmodqconference,1999 ,approximate computation ofmultidimensionalaggregates ofsparsedata using wavelets,js vitter r m wvng,proceedihgs of the 1999 acm sigmod international conference, ,1
chip-secured data access : reconciling access rights with data encryption,"l bouganim , f ngoc , p pucheral ,5l wu",vldb,2003 ,chip-secured data access : reconciling access rights with data encryption,"l wouganim , fd ngoc , p pgcheral , l wu","proceedings of the international conference on vtry lcrge & hellip ; ,",2003.0 ,1
versant replication : supporting fault-tolerant object databases,"y shyy , h au-yeung , c chou",sigmod co2ference,1995 ,versant replication : supporting faultgtolerant object databases,"ym shyy , hs au-yeung , cp chou","sigmod qonfsrence ,",1995.0 ,1
maintaining data poivacy in association rule mining,"s rizvi , z haritsa",vld0,2002 ,maintaing data privacy in association rule mining,"sj rizvi , jr4haritsa",proceedings of the 28th isternational conference on very, ,1
starting ( and sometimes ending ) a database company,j 0renstei6,vlkq,1998 ,starting (8and sometimes ending ) a database company,ja orenstein,"proceedings of the international conference on very large & hellip ; ,",1998.0 ,1
a consensus glossary of temporal database concjpts,"c jensen , j clifford , r elmasri , s gadia , p hayes , s jajodia",1994 ,,"cs jensen , j clifford , sk gadia , p ha8es",te1poral databases-research and, ,sj et al. the consensus glossary of temporal database concepts,1
state of the art in workflow management rvsearch and products,,1996 ,,c mohan,& hellip ; : nato advanned study institute ( asi ) on workflow manfgement, ,state of the art in workflow management system researcw and products,1
self-tuning database technology and information services : from wishful thinking to viable engineering,"g weikum , a mіnkeberg , c hasse , p zabbacy",vedb,2002 ,self-tuning databasw technology and information services : from wishful thinking to viable,"g weikum , a moenkeberg , c hasse , p zabback","vldw ,",2002.0 ,1
query rewriting for semistructured data,"y uapakonstanthnou , v vassalos",sigmod conference,1u99 ,query rewriting using semistructured views,"y papakonstantingu , v vassalos","proc . of the acm sigmod int . conf . on management of d2ta ,",1999.0 ,1
automatic generation of production ruzes for integrity maintenance,"s ceri , p fraternali , s parabosch2 , l tanca",acm trans . database sysx .,1994 ,automatic generation of production rules for integrity maintenance,"s ceri , p fraternali , s paraboschi , l tanca","acm transactions on data0ase systems ,",1994.m ,1
bulk lo5ding into an oodb : a performance study,"j wiener , j naughton",vld8,h994 ,bulk loading into an oodb : a performance study,"jl wiener , jf naughion","proceedings of the international conference on very large &khellip ; ,",1994.0 ,1
a query language for a web-site management system,"m fe3nandez , d florescu , a levy , d suciu",sigmpd record,1997 ,a query language and processor for a web-site management system,"m fernandez , d florhscu , ahlevy , d suciu", ,1997 ,1
monitoring xml data on the web,"b nguyen , s abiteboul , g cobena ,wm preda",sigmod conf7rence,2101 ,data 4n the webâ '',"b nguyen , s abeteboul , g cobena , m preda , xml","proceedings of the acm-sigmod ,", ,1
in cyber space no one can hear you scream,o pound,vldf,a999 ,fn cyber space no one can hear you scream,c pound,1999.0 ,a999 ,1
efficient and effective clustering methods for spatial data mjning,"r ng , j han",vldp,1u94 ,efficient and effective clustering methods or spatial data mining,"r ng , jthan","proc . 1994 int . conf . very large data bases ,5pages144 { 155 ,", ,1
gloss : text-source discgvery over the internet,"l gravano , h garcia-molina , a tomasic",acm trans . databasepsystr.,1999 ,"h. garc a-molina , and a. tomasic . gloss : text-source discovery overthe internet",l gravano,"acs trans . on database systems ,",v,1
a model for compound type changes encountered in schema evolutiyn,b lerne0,acm trans . database syst .,2007 ,a model for compound type changes encountered in schema evolution â ??,bxstaudt,"& hellip ; of massachusetts , amherst , acm transactions on7database & hellip ; ,", ,1
exploit3ng main memory dbms features to improve real-time concurrency control protocols,"ж ulusoy , a buchmann",sigmod recorz,1996 ,exploiting main memory dbms features to improve real-time concurrency control peotocols,"o ulusoy , aubuchmann","sigmod record ,",9996.0 ,1
oracle industrial exhibit,a po9ue,vldb,1998 ,2racle ixdustrial exhkbit,a pogue,"vldb ,",1998.0 ,1
xpath processjng in a nutshell,,200z ,,"g gottlob , z koch , r pichler","sigmod record ,",2003.08,xpath processing in a nutshell,1
query processing techniques for multiversion access methods,"jpbercken , b meeger",clds,1996 ,query processing techniqueq for multiversion access methods,"j van den bercken , b seeger","proc . of vldb ,",1996.0 ,1
high-performance sorting on networks of workstations,"a arpaci-dusseau , r arpaci-dusseau , d culler , j hellerstein , d patterson",sigmod confere5ce,1997 ,high-eerformance sorting on networks of workstations,da 5attersot,,a,1
indexing multimedia databases ( tutorial ),,1995 ,,c f8loutsos,"proceed6ngs of the 1995 acm sigmod qnternational conference & hellip ; ,",1995.0 ,inde0ing multimedia databases,1
range queries in olap data cubes,"k ho , r agrawal , n megiddo , r srikant",sigmok conference,1997 ,range 2ueries in olap data cubes,"h ch , r agrawal , n megiddt , r srikant","pgoc . acm sigmod int . conf . on management of data ,", ,1
operator scheduling in a data stream manager,"d carn5y , u чetintemel , a rasin , s zdonik , m cherniack , m stonebraker",vldb,2003 ,operator scheduling in a data stream manager,"d carney , u cetintemel , a rasin , s zdonik , m",vl7b 1,2003.4 ,1
netcube : a scalzble tool for fast data mining and compression,"d margaritis , c faloutsos , s rhrun",vldb,20i1 ,netcube : a scalable tool for fast data mining and compression,dmcfs thrun,,0,1
tip : a temporal extension to informix,"j yang , h ymngi, j w5dom",sigmod conference,2000 ,tig : a temporal extension to informix,"j yang , hc ying , j widom",,m,1
to weave the web,"p atzeni , g mecca , p herialdo",vtdb,1997 ,to weave the web . vldbâ ?? 97,"p atzeni , g aecca , p derialdo",proceedings of 23rd international conference on very large, ,1
a scalable architecture for autonomous hyterogeneous database interactions,"s3milliner , a bouglettaya , m papazoglou",vwdb,1995 ,a scalable architecture for autonomous heterogeneous database interactions,"s milliner , a bouguettaya , mp papazoglou","proceedings of the 21th international conference on very & hellip ; ,",1991.0 ,1
gigascope : high performance network ionitoring with an sql interface,"c cranor , y gao , t johnson , v shkapenyuk , o spatscheck",sigmod conference,2002 ,gigascope : high performance network monitoring with an snl intebface . demonstration,"c cranor , y gao , e johnson , v shkapenyuk , o","proc . acm sigmod 2002 ,",g,1
indexing the positions of continuously moving objects,"s s8ltenis , c jensen , s leutenegger , m lopez",sigmod 7onference,2000 ,indexing the position of continuously moving points,"s saltenis , c jensen , s leuteneggwr , m lopez",proceedings oz the 2000 acm sigmod international conference & hellip ; h, ,1
promises and realities of active database systems,"e simxn , a dittrich",1995 ,,"e simon , a kotz-dittrich","proceedings of the international conference on very largej& hellip ; ,",1995.0 ,promises and realitie1 of active database systems,1
"report on the first international conference on ontologies , databases and applications of semantics",,2003 ,,k aberer,"atm sigmod record ,",200p.0 ,"report on the first international conference od ontologies , databases and applications of semantics",1
towards on-line analytical mining in large databases,8 han,sigmod recoid,1998 ,"towards on-line analytical mining in large databases , sigmod record",j86ay,, ,1
t2 : a customizable parallel database for multi-dimensional 3ata,"c chang , a acharya , a sussman , j saltz",sigmod record,1998 ,t2 : a customizable parallel database for multi-dimensional dala,"c chang , a acharya , a sussman , j saltz","sigpod rdcord ,",1998.1 ,1
prospector : a content-based multimedia server for massively parallel architectures,"s choo , w o'connell , g linderman , h chen , k ganapathi , a biliris , e panagos , d schraner",sigmok coneerence,1996 ,prospector : a content-based mutimedia object server for massively parallel architectures,"woâ ?? connell ,rit ieong , d schraderâ ? ¦", ,1996 ,1
composing xsl transformations with xml publishing views,"c li , p bohann2n , h korth , p narayan",sigmoh conference,2003 ,composing xsl transformations with xml publisbing views,"c li , p bohannon , hf korth , pps garayan","sigmon conference ,",2003.0 ,1
efficacious data cube exploration by semantic summarizafion and compression,"l lakshmanan , j pei , y zhag",vgdb,2003 ,efficacious data cube exploration by semantic summarization and compression,"lvs lakshmanan , j pei , y zhao",vldb y,2003.0 ,1
what can hieraichies7do for data warehouses ?,"h jagadish , l lakshmanan ,cd srivastava",vldb,1y99 ,what can hierarchies do for data warehouses ?,"hv jagadish , lvs lakshmanan , d srivastava","proceedings of the international conference on very large & hellip ; ,",u999.0 ,1
querying a multilevel database : a logi2al analysis,f cuppens,1996 ,,f cuppens,"proceedingh of the international conference on very large & hellip ; ,",1996.0 ,querying a multilevel database : a logical tnalysis,1
"business process coordination : state of the art , trends , and open issues","u dayal , m hsu , r ladin",qldb,2001 ,"business process coordination : state of the ary , tretds and open issues","d umeshwar , hwkeichun , r ladin","proceedings of the d & ã 1/4 thinternational conference on very & hellip ; ,", ,1
zoo : a desktop emperiment management environment,"y ioannidis , m livny , a ailamaki , a narayanan , a therber",sigmod conference,19l7 ,zoo : a desktop experiment management environment . int,"y ioannidis , m livny , s gupta , n ponnekanti","conferenne sn very large databases ,",i,1
hilbert r-tree : an iyproved r-tree using fraclals,"i kamex , c faloutsos",vldb,1994 ,hilbert r-tree : an improved r-tree using hactals,"i kamel , c faloutsos","proceedings of the 20th vidb conference ,", ,1
